name,SW,HMM,HD,HMM_corrected
VC_0354,NE,NE,0,NE
VC_0355,NE,NE,0,NE
VC_0356,E,E,1,E
VC_0357,E,E,1,E
VC_0358,E,E,1,E
VC_0359,E,E,1,E
VC_0360,E,E,1,E
VC_0361,D,E,1,E
VC_0362,Duplicated Gene,,,Duplicated Gene
VC_0363,n/a,NE,0,NE
VC_0364,n/a,NE,0,NE
VC_0365,NE,NE,0,NE
VC_0366,D,E,1,E
VC_0367,E,E,1,E
VC_0368,E,E,1,E
VC_0369,E,S,1,S
VC_0370,NE,NE,0,NE
VC_0371,E,E,1,E
VC_0372,E,E,1,E
VC_0373,NE,NE,0,NE
VC_0374,NE,NE,0,NE
VC_0375,n/a,NE,0,NE
VC_0376,NE,NE,0,NE
VC_0377,NE,NE,0,NE
VC_0378,NE,NE,0,NE
VC_0379,NE,NE,0,NE
VC_0380,n/a,NE,1,NE
VC_0380.1,n/a,NE,0,NE
VC_0381,NE,NE,0,NE
VC_0382,n/a,NE,0,NE
VC_0383,NE,NE,0,NE
VC_0384,NE,NE,0,NE
VC_0385,NE,NE,0,NE
VC_0386,NE,NE,0,NE
VC_0387,Duplicated Gene,,,Duplicated Gene
VC_0388,Duplicated Gene,,,Duplicated Gene
VC_0389,NE,NE,0,NE
VC_0390,NE,NE,0,NE
VC_0391,NE,NE,0,NE
VC_0392,NE,NE,0,NE
VC_0393,NE,NE,0,NE
VC_0394,NE,NE,0,NE
VC_0395,NE,NE,0,NE
VC_0396,NE,NE,0,NE
VC_0397,D,E,1,E
VC_0398,D,NE,0,NE
VC_0399,NE,NE,0,NE
VC_0400,NE,NE,0,NE
VC_0401,NE,NE,0,NE
VC_0402,NE,NE,0,NE
VC_0403,NE,NE,0,NE
VC_0404,NE,NE,0,NE
VC_0405,NE,NE,0,NE
VC_0406,NE,NE,0,NE
VC_0407,NE,NE,0,NE
VC_0408,NE,NE,0,NE
VC_0409,NE,NE,0,NE
VC_0410,NE,NE,0,NE
VC_0411,NE,NE,0,NE
VC_0412,NE,NE,0,NE
VC_0413,NE,NE,0,NE
VC_0414,NE,NE,0,NE
VC_0415,D,E,1,E
VC_0416,D,E,1,E
VC_0417,D,E,1,E
VC_0418,NE,NE,0,NE
VC_0419,NE,NE,0,NE
VC_0420,NE,NE,0,NE
VC_0421,NE,NE,0,NE
VC_0422,NE,NE,0,NE
VC_0423,NE,NE,0,NE
VC_0424,NE,NE,0,NE
VC_0425,NE,NE,0,NE
VC_0426,NE,NE,0,NE
VC_0427,n/a,NE,0,NE
VC_0428,NE,NE,0,NE
VC_0429,NE,NE,0,NE
VC_0430,NE,NE,0,NE
VC_0431,NE,NE,0,NE
VC_0432,NE,NE,0,NE
VC_0433,NE,NE,0,NE
VC_0434,D,E,1,E
VC_0435,E,E,1,E
VC_0436,E,E,1,E
VC_0437,D,D,1,D
VC_0438,NE,NE,0,NE
VC_0439,NE,NE,0,NE
VC_0440,E,E,1,E
VC_0441,NE,NE,0,NE
VC_0442,NE,NE,0,NE
VC_0443,D,E,1,E
VC_0444,D,E,1,E
VC_0445,D,E,1,E
VC_0446,E,E,1,E
VC_0447,NE,NE,0,NE
VC_0448,n/a,S,0,S
VC_0449,NE,NE,0,NE
VC_0450,NE,NE,0,NE
VC_0451,NE,NE,0,NE
VC_0452,NE,NE,0,NE
VC_0453,NE,NE,0,NE
VC_0454,NE,NE,0,NE
VC_0455,NE,NE,0,NE
VC_0456,NE,NE,0,NE
VC_0457,NE,NE,0,NE
VC_0458,NE,NE,0,NE
VC_0459,NE,NE,0,NE
VC_0460,NE,NE,0,NE
VC_0461,NE,NE,0,NE
VC_0462,NE,NE,0,NE
VC_0463,NE,NE,0,NE
VC_0464,NE,NE,0,NE
VC_0465,NE,NE,0,NE
VC_0466,n/a,E,1,E
VC_0467,NE,NE,0,NE
VC_0468,NE,NE,0,NE
VC_0469,NE,NE,0,NE
VC_0470,NE,NE,0,NE
VC_0471,NE,NE,0,NE
VC_0472,D,E,1,E
VC_0473,D,NE,0,NE
VC_0474,NE,NE,0,NE
VC_0475,NE,NE,0,NE
VC_0476,NE,NE,0,NE
VC_0477,D,E,1,E
VC_0478,E,E,1,E
VC_0479,n/a,S,1,S
VC_0480,D,NE,0,NE
VC_0481,NE,NE,0,NE
VC_0482,NE,NE,0,NE
VC_0483,NE,NE,0,NE
VC_0484,n/a,NE,0,NE
VC_0485,NE,NE,0,NE
VC_0486,NE,NE,0,NE
VC_0487,D,E,1,E
VC_0488,NE,NE,0,NE
VC_0489,NE,NE,0,NE
VC_0490,D,S,0,S
VC_0491,D,S,0,S
VC_0492,NE,NE,0,NE
VC_0493,NE,NE,0,NE
VC_0494,NE,NE,0,NE
VC_0495,NE,NE,0,NE
VC_0496,NE,NE,0,NE
VC_0497,n/a,NE,0,NE
VC_0498,NE,NE,0,NE
VC_0499,NE,NE,0,NE
VC_0500,NE,NE,0,NE
VC_0501,NE,NE,0,NE
VC_0502,NE,NE,0,NE
VC_0503,NE,NE,0,NE
VC_0504,NE,NE,0,NE
VC_0505,NE,NE,0,NE
