Gene_ID,Input_Reads_count_Normalized,Output_Reads_count_Normalized,P_Value,FC_IO,FC_OI
VCA0424,9224,6673,0.00627027,1.38,0.7235
VCA0580,5414,3913,0.002129027,1.38,0.7227
VCA0945,10045,7285,0.032943688,1.38,0.7252
VCA1037,15986,11612,0.094618198,1.38,0.7264
VCA1043,16297,11837,0.026942382,1.38,0.7263
VCA1055,16382,11895,0.004541696,1.38,0.7261
VCA1083,8835,6405,0.089202225,1.38,0.725
VCA1104,9931,7186,0.439017914,1.38,0.7236
VC0018,14673,10705,0.037179401,1.37,0.7296
VC0033,17719,12897,0.248618644,1.37,0.7278
VC0037,16181,11786,0.019514298,1.37,0.7284
VC0039,11457,8392,0.042585319,1.37,0.7325
VC0632,9440,6894,0.005466295,1.37,0.7303
VC0732,23639,17280,0.524857246,1.37,0.731
VC0817,5862,4293,0.014314013,1.37,0.7323
VC0857,10430,7623,0.352432651,1.37,0.7309
VC1177,9183,6721,0.838510994,1.37,0.7319
VC1931,15505,11321,0.311884901,1.37,0.7302
VC2364,5401,3955,0.023279394,1.37,0.7322
VC2615,16096,11741,0.485991291,1.37,0.7294
VC2670,13294,9714,0.01938837,1.37,0.7307
VCA0576,9508,6965,0.427659147,1.37,0.7326
VCA0687,27909,20334,0.002117878,1.37,0.7286
VCA0780,8086,5884,0.002868043,1.37,0.7276
VCA0904,9005,6556,0.315612061,1.37,0.728
VC0353,17517,12878,0.040454577,1.36,0.7352
VC0542,43195,31690,0.112853286,1.36,0.7336
VC1131,13175,9661,0.007269038,1.36,0.7333
VC1195,13280,9743,0.344364033,1.36,0.7337
VC1208,7705,5645,0.026119807,1.36,0.7326
VC1245,24458,18001,0.168609393,1.36,0.736
VC1522,12046,8863,0.094546017,1.36,0.7358
VC1864,12590,9279,0.506811889,1.36,0.737
VC1947,7862,5777,0.404357125,1.36,0.7348
VC2083,8449,6230,0.003202331,1.36,0.7373
VC2441,9436,6940,0.089049572,1.36,0.7354
VC2488,11002,8074,0.149042344,1.36,0.7339
VCA0220,11968,8778,0.108468699,1.36,0.7334
VCA0710,12033,8879,0.570706289,1.36,0.7379
VCA0853,10029,7363,0.006162328,1.36,0.7341
VCA1028,17616,13000,0.006523193,1.36,0.738
VCA1070,13223,9738,0.10709326,1.36,0.7365
VC0174,12350,9146,0.126491953,1.35,0.7406
VC0976,10696,7938,0.294505707,1.35,0.7421
VC2684,15557,11551,0.298799775,1.35,0.7425
VC2757,15295,11347,0.099976067,1.35,0.7419
VCA0712,19031,14056,0.030646706,1.35,0.7386
VCA0758,7915,5869,0.877896563,1.35,0.7415
VC0117,43220,32195,0.023902849,1.34,0.7449
VC0123,8828,6582,0.217813566,1.34,0.7456
VC0742,10140,7554,0.108803522,1.34,0.745
VC1123,11107,8304,0.041260406,1.34,0.7476
VC1355,8015,5986,0.784664993,1.34,0.7468
VC2142,7219,5400,0.546589408,1.34,0.748
VC2498,17195,12851,0.091795878,1.34,0.7474
VC2506,6433,4795,0.105441679,1.34,0.7455
VC2609,21265,15910,0.036310669,1.34,0.7482
VC2640,6902,5138,0.391961159,1.34,0.7445
VC2678,44508,33339,0.238599142,1.34,0.7491
VCA0096,21838,16269,0.704446908,1.34,0.745
VCA0138,3511,2628,0.107479547,1.34,0.7483
VCA0174,15847,11828,0.264678813,1.34,0.7464
VCA0282,4820,3599,0.518693322,1.34,0.7467
VC0232,18241,13673,0.007311506,1.33,0.7496
VC0589,14999,11287,0.005560682,1.33,0.7525
VC1402,8304,6243,0.00109743,1.33,0.7518
VC1588,6431,4824,0.001383422,1.33,0.7502
VC2240,20844,15689,0.009930886,1.33,0.7527
VC2653,18885,14222,0.374279436,1.33,0.7531
VC2681,7032,5287,0.449755568,1.33,0.7518
VCA0081,8406,6305,0.005483025,1.33,0.7501
VCA0482,8073,6093,0.394447727,1.33,0.7547
VCA0543,4776,3592,0.203418794,1.33,0.7522
VCA0550,7219,5428,0.437788335,1.33,0.7518
VCA0579,16531,12455,0.610546864,1.33,0.7534
VC0071,11160,8435,0.059284875,1.32,0.7558
VC0615,20531,15538,0.379315355,1.32,0.7568
VC0765,14039,10661,0.005732785,1.32,0.7594
VC1100,13716,10373,0.579707065,1.32,0.7563
VC1188,9795,7392,0.608471541,1.32,0.7547
VC1886,17839,13491,0.316166845,1.32,0.7563
VC1910,7829,5924,0.033689114,1.32,0.7566
VC2060,6676,5069,0.152840073,1.32,0.7593
VCA0265,6658,5032,0.050614903,1.32,0.7557
VCA0463,6160,4656,0.181132208,1.32,0.7558
VCA0828,12801,9687,0.69881827,1.32,0.7567
VCA0943,18214,13816,0.103292465,1.32,0.7586
VCA1086,15865,12016,0.112108982,1.32,0.7573
VCA1112,10090,7671,0.008631936,1.32,0.7603
VC0082,29796,22731,0.172872756,1.31,0.7629
VC1492,8744,6649,0.055232726,1.31,0.7605
VC1511,6812,5204,0.07154415,1.31,0.764
VC1808,2681,2045,0.072281066,1.31,0.7626
VCA0216,9205,7013,0.383513512,1.31,0.7618
VCA0284,5700,4338,0.636981632,1.31,0.7611
VCA0316,10710,8177,0.530829084,1.31,0.7634
VC0078,9334,7166,0.296354261,1.3,0.7677
VC0271,19453,14910,0.070830249,1.3,0.7664
VC0492,6836,5258,0.28949244,1.3,0.7692
VC0738,13961,10707,0.000670745,1.3,0.7669
VC0758,15573,11979,0.16165105,1.3,0.7693
VC1022,10305,7920,0.086172196,1.3,0.7685
VC1026,22421,17229,0.002072351,1.3,0.7684
VC1713,14063,10805,0.305968068,1.3,0.7684
VC2070,11895,9176,0.669672997,1.3,0.7715
VC2161,10630,8154,0.129341171,1.3,0.7671
VC2416,13301,10248,0.6925875,1.3,0.7705
VC2423,11723,9023,0.230185935,1.3,0.7696
VCA0065,16322,12518,0.025488412,1.3,0.767
VCA0067,15196,11680,0.441981635,1.3,0.7686
VCA0079,8829,6783,0.2745031,1.3,0.7683
VCA0238,11848,9108,0.137632019,1.3,0.7687
VCA0365,6411,4927,0.003906668,1.3,0.7686
VCA0967,10425,7990,0.028566834,1.3,0.7664
VC0190,6536,5065,0.03267057,1.29,0.775
VC1283,7668,5942,0.063228459,1.29,0.7749
VC1382,11289,8769,0.148035568,1.29,0.7768
VC1431,3668,2852,0.131234689,1.29,0.7775
VC1465,10272,7970,0.044048662,1.29,0.7758
VC1928,11138,8624,0.54785098,1.29,0.7743
VC2341,10853,8414,0.083133435,1.29,0.7753
VCA0193,15123,11710,0.02899734,1.29,0.7743
VCA0784,4891,3802,0.39223136,1.29,0.7772
VCA0915,16286,12661,0.456226506,1.29,0.7774
VCA0953,8609,6669,0.270405958,1.29,0.7747
VCA1093,19706,15277,0.321226628,1.29,0.7752
VC0430,22818,17792,0.257422921,1.28,0.7797
VC0505,17682,13833,0.50034102,1.28,0.7823
VC0655,18675,14640,0.491137123,1.28,0.784
VC0790,7883,6174,0.622382201,1.28,0.7832
VC1143,9446,7352,0.155160935,1.28,0.7783
VC1214,12185,9492,0.525565527,1.28,0.779
VC1248,12360,9660,0.2146018,1.28,0.7815
VC1978,6371,4975,0.016458823,1.28,0.7809
VCA0946,7073,5512,0.026130907,1.28,0.7793
VC0608,8261,6488,0.661759163,1.27,0.7854
VC0739,14112,11138,0.124508421,1.27,0.7892
VC0998,11344,8916,0.030840419,1.27,0.786
VC1065,13416,10551,0.011313886,1.27,0.7864
VC1211,12052,9503,0.091028891,1.27,0.7884
VC1390,10829,8520,0.064271988,1.27,0.7868
VC1848,10789,8509,0.210510973,1.27,0.7886
VC1851,15918,12529,0.067076862,1.27,0.7871
VC2038,13470,10632,0.017745714,1.27,0.7893
VC2677,12076,9522,0.013241168,1.27,0.7885
VCA0092,13261,10433,0.065619148,1.27,0.7868
VCA0235,8206,6480,0.34026843,1.27,0.7897
VCA0339,12014,9473,0.295433667,1.27,0.7885
VCA0422,8873,6966,0.014268736,1.27,0.7851
VCA0474,13665,10801,0.50269821,1.27,0.7904
VCA0794,12093,9521,0.083026939,1.27,0.7873
VC1103,6176,4895,0.040754006,1.26,0.7926
VC1719,14558,11567,0.240736017,1.26,0.7946
VC1897,12984,10287,0.007669759,1.26,0.7923
VC1972,18165,14382,0.103984421,1.26,0.7917
VC2006,12255,9763,0.100057666,1.26,0.7967
VC2081,12707,10046,0.242760173,1.26,0.7906
VC2713,18795,14907,0.178251069,1.26,0.7931
VC2714,9643,7664,0.166022484,1.26,0.7948
VC2744,6713,5319,0.077257003,1.26,0.7923
VC2760,19942,15815,0.397805881,1.26,0.793
VCA0085,12757,10165,0.284293116,1.26,0.7968
VCA0154,12459,9906,0.267490293,1.26,0.7951
VCA0196,6466,5129,0.435762847,1.26,0.7933
VCA0496,11307,8985,0.815230488,1.26,0.7946
VC0302,27427,21896,0.007596192,1.25,0.7983
VC0470,11152,8924,0.563906879,1.25,0.8002
VC0652,10932,8748,0.5272203,1.25,0.8002
VC0828,9126,7327,0.186095291,1.25,0.8028
VC1046,13482,10752,0.027311509,1.25,0.7975
VC1368,9336,7456,0.785485969,1.25,0.7987
VC1720,4046,3225,0.012280316,1.25,0.7971
VC1939,8619,6923,0.877279927,1.25,0.8032
VC2103,11118,8910,0.217936487,1.25,0.8014
VC2659,28216,22616,0.228843629,1.25,0.8015
VC2753,12,9,0.216924578,1.25,0.803
VCA0417,10849,8708,0.002720214,1.25,0.8026
VCA0871,12068,9667,0.212065503,1.25,0.8011
VCA0998,12589,10066,0.383509762,1.25,0.7996
VC0805,19155,15424,0.015578991,1.24,0.8052
